--- ESD PLASMIC SIMULATION RESULTS ---
Global Status,FAIL (Dielectric Rupture!)
Dielectric Breakdown Field [V/m],10000000.0
Eclipse Start Time [Hours],11.0
Eclipse Duration [Minutes],120.0
Substorm Start Time [Hours],11.5
Substorm Duration [Minutes],240.0

Time [Hours],Spacecraft Temperature [C],Surface Voltage [V],Internal Electric Field [V/m]
0.0,9.42647513390483,4.640355562124382,0.0
0.008333333333333333,9.42647513390483,4.640355562124382,2.1031674849342567e-35
0.016666666666666666,9.42647513390483,4.640355562124382,4.3106774517192694e-35
0.025,9.42647513390483,4.640355562124382,6.644903095112038e-35
0.03333333333333333,9.42647513390483,4.640355562124382,9.130146323303649e-35
0.041666666666666664,9.42647513390483,4.640355562124382,1.1792910614299374e-34
0.05,9.42647513390483,4.640355562124382,1.4662202139592491e-34
0.058333333333333334,9.42647513390483,4.640355562124382,1.776986263612112e-34
0.06666666666666667,9.42647513390483,4.640355562124382,2.1150937889273045e-34
0.075,9.42647513390483,4.640355562124382,2.484408611589289e-34
0.08333333333333333,9.42647513390483,4.640355562124382,2.8892031011773632e-34
0.09166666666666666,9.42647513390483,4.640355562124382,3.334206475846792e-34
0.1,9.42647513390483,4.640355562124382,3.824660687553083e-34
0.10833333333333334,9.42647513390483,4.640355562124382,4.36638254633009e-34
0.11666666666666667,9.42647513390483,4.640355562124382,4.965832811557612e-34
0.125,9.42647513390483,4.640355562124382,5.6301930599459005e-34
0.13333333333333333,9.42647513390483,4.640355562124382,6.367451231054929e-34
0.14166666666666666,9.42647513390483,4.640355562124382,7.186496852594309e-34
0.15,9.42647513390483,4.640355562124382,8.097227060668208e-34
0.15833333333333333,9.42647513390483,4.640355562124382,9.11066465582093e-34
0.16666666666666666,9.42647513390483,4.640355562124382,1.023908957562864e-33
0.175,9.42647513390483,4.640355562124382,1.1496185320252206e-33
0.18333333333333332,9.42647513390483,4.640355562124382,1.2897202040577848e-33
0.19166666666666668,9.42647513390483,4.640355562124382,1.4459138191277265e-33
0.2,9.42647513390483,4.640355562124382,1.6200942865491906e-33
0.20833333333333334,9.42647513390483,4.640355562124382,1.814374116629544e-33
0.21666666666666667,9.42647513390483,4.640355562124382,2.0311085235296098e-33
0.225,9.42647513390483,4.640355562124382,2.2729233853679987e-33
0.23333333333333334,9.42647513390483,4.640355562124382,2.542746385897225e-33
0.24166666666666667,9.42647513390483,4.640355562124382,2.8438416985472456e-33
0.25,9.42647513390483,4.640355562124382,3.179848614178063e-33
0.25833333333333336,9.42647513390483,4.640355562124382,3.5548245589588636e-33
0.26666666666666666,9.42647513390483,4.640355562124382,3.973292998899591e-33
0.275,9.42647513390483,4.640355562124382,4.440296783258263e-33
0.2833333333333333,9.42647513390483,4.640355562124382,4.961457540953426e-33
0.2916666666666667,9.42647513390483,4.640355562124382,5.543041812912045e-33
0.3,9.42647513390483,4.640355562124382,6.192034679740343e-33
0.30833333333333335,9.42647513390483,4.640355562124382,6.916221729065713e-33
0.31666666666666665,9.42647513390483,4.640355562124382,7.724280301298562e-33
0.325,9.42647513390483,4.640355562124382,8.625881057446664e-33
0.3333333333333333,9.42647513390483,4.640355562124382,9.631801029134795e-33
0.3416666666666667,9.42647513390483,4.640355562124382,1.0754049440422332e-32
0.35,9.42647513390483,4.640355562124382,1.200600773479127e-32
0.35833333333333334,9.42647513390483,4.640355562124382,1.3402585400375834e-32
0.36666666666666664,9.42647513390483,4.640355562124382,1.4960393363868293e-32
0.375,9.42647513390483,4.640355562124382,1.669793692050742e-32
0.38333333333333336,9.42647513390483,4.640355562124382,1.863583038628468e-32
0.39166666666666666,9.42647513390483,4.640355562124382,2.0797035901376655e-32
0.4,9.42647513390483,4.640355562124382,2.320712908347186e-32
0.4083333333333333,9.42647513390483,4.640355562124382,2.589459452904416e-32
0.4166666666666667,9.42647513390483,4.640355562124382,2.88911544929803e-32
0.425,9.42647513390483,4.640355562124382,3.223213444590218e-32
0.43333333333333335,9.42647513390483,4.640355562124382,3.5956869618031153e-32
0.44166666666666665,9.42647513390483,4.640355562124382,4.0109157092949086e-32
0.45,9.42647513390483,4.640355562124382,4.4737758519032026e-32
0.4583333333333333,9.42647513390483,4.640355562124382,4.989695906609783e-32
0.4666666666666667,9.42647513390483,4.640355562124382,5.564718887595949e-32
0.475,9.42647513390483,4.640355562124382,6.205571394478023e-32
0.48333333333333334,9.42647513390483,4.640355562124382,6.919740413979331e-32
0.49166666666666664,9.42647513390483,4.640355562124382,7.715558690127239e-32
0.5,9.42647513390483,4.640355562124382,8.602299612170793e-32
0.5083333333333333,9.42647513390483,4.640355562124382,9.59028267380192e-32
0.5166666666666667,9.42647513390483,4.640355562124382,1.0690990673046423e-31
0.525,9.42647513390483,4.640355562124382,1.1917199950602935e-31
0.5333333333333333,9.42647513390483,4.640355562124382,1.3283125106818654e-31
0.5416666666666666,9.42647513390483,4.640355562124382,1.4804579795411716e-31
0.55,9.42647513390483,4.640355562124382,1.6499155367159688e-31
0.5583333333333333,9.42647513390483,4.640355562124382,1.8386419330927413e-31
0.5666666666666667,9.42647513390483,4.640355562124382,2.04881358146621e-31
0.575,9.42647513390483,4.640355562124382,2.2828510447614346e-31
0.5833333333333334,9.42647513390483,4.640355562124382,2.543446234956835e-31
0.5916666666666667,9.42647513390483,4.640355562124382,2.8335926206074825e-31
0.6,9.42647513390483,4.640355562124382,3.156618773365884e-31
0.6083333333333333,9.42647513390483,4.640355562124382,3.5162256199142917e-31
0.6166666666666667,9.42647513390483,4.640355562124382,3.9165278056356745e-31
0.625,9.42647513390483,4.640355562124382,4.362099620579188e-31
